date,temperature_2m,relative_humidity_2m
2022-06-06 00:00:00,18.380999,42.71857
2022-06-06 01:00:00,17.730999,43.733772
2022-06-06 02:00:00,16.880999,45.6685
2022-06-06 03:00:00,16.181,47.7468
2022-06-06 04:00:00,15.281,50.92939
2022-06-06 05:00:00,14.1310005,55.231953
2022-06-06 06:00:00,15.431001,54.058193
2022-06-06 07:00:00,19.181,40.35457
2022-06-06 08:00:00,20.581,36.873
2022-06-06 09:00:00,21.931,33.358593
2022-06-06 10:00:00,23.831,28.513296
2022-06-06 11:00:00,25.281,24.544199
2022-06-06 12:00:00,25.831,20.982504
2022-06-06 13:00:00,26.281,20.431316
2022-06-06 14:00:00,27.531,18.714338
2022-06-06 15:00:00,27.581,18.460354
2022-06-06 16:00:00,27.730999,20.651937
2022-06-06 17:00:00,26.031,25.89422
2022-06-06 18:00:00,25.130999,27.03133
2022-06-06 19:00:00,24.630999,27.177729
2022-06-06 20:00:00,22.230999,32.75425
2022-06-06 21:00:00,21.081,34.413292
2022-06-06 22:00:00,20.031,36.459328
2022-06-06 23:00:00,19.730999,37.665215
