date,temperature_2m,relative_humidity_2m
2021-10-27 00:00:00,9.681001,69.06775
2021-10-27 01:00:00,8.831,72.62312
2021-10-27 02:00:00,8.6310005,73.353745
2021-10-27 03:00:00,8.1310005,75.08737
2021-10-27 04:00:00,7.231,78.72262
2021-10-27 05:00:00,7.581,76.86324
2021-10-27 06:00:00,7.731,76.61806
2021-10-27 07:00:00,7.7809997,77.98209
2021-10-27 08:00:00,10.1310005,71.859184
2021-10-27 09:00:00,12.781,63.52185
2021-10-27 10:00:00,14.231,58.604397
2021-10-27 11:00:00,15.531,52.79374
2021-10-27 12:00:00,16.331,47.1284
2021-10-27 13:00:00,17.130999,42.509567
2021-10-27 14:00:00,17.431,41.27492
2021-10-27 15:00:00,17.480999,41.289318
2021-10-27 16:00:00,16.980999,42.61564
2021-10-27 17:00:00,15.1310005,48.461845
2021-10-27 18:00:00,13.1310005,58.128628
2021-10-27 19:00:00,12.6310005,59.436966
2021-10-27 20:00:00,11.981,62.2465
2021-10-27 21:00:00,11.1310005,65.61421
2021-10-27 22:00:00,9.481,72.74378
2021-10-27 23:00:00,8.331,77.524475
