date,temperature_2m,relative_humidity_2m
2023-07-24 00:00:00,20.781,30.455132
2023-07-24 01:00:00,19.781,31.713446
2023-07-24 02:00:00,18.730999,33.377853
2023-07-24 03:00:00,17.880999,35.709785
2023-07-24 04:00:00,17.181,40.059254
2023-07-24 05:00:00,16.281,45.024048
2023-07-24 06:00:00,16.880999,45.987236
2023-07-24 07:00:00,19.431,42.722263
2023-07-24 08:00:00,21.831,37.746727
2023-07-24 09:00:00,23.630999,33.26684
2023-07-24 10:00:00,25.281,27.547443
2023-07-24 11:00:00,26.630999,25.520058
2023-07-24 12:00:00,26.581,31.235022
2023-07-24 13:00:00,26.880999,32.72431
2023-07-24 14:00:00,27.531,30.35203
2023-07-24 15:00:00,27.531,29.141756
2023-07-24 16:00:00,27.181,28.069904
2023-07-24 17:00:00,26.431,27.6726
2023-07-24 18:00:00,25.281,27.547443
2023-07-24 19:00:00,23.730999,28.089245
2023-07-24 20:00:00,22.130999,27.939672
2023-07-24 21:00:00,21.480999,29.174286
2023-07-24 22:00:00,20.630999,33.688625
2023-07-24 23:00:00,19.431,37.842007
