date,temperature_2m,relative_humidity_2m
2023-01-17 00:00:00,6.6809998,88.598366
2023-01-17 01:00:00,6.481,90.45261
2023-01-17 02:00:00,6.581,87.97401
2023-01-17 03:00:00,6.381,91.077324
2023-01-17 04:00:00,6.4309998,89.19701
2023-01-17 05:00:00,6.7809997,86.471405
2023-01-17 06:00:00,7.081,80.66029
2023-01-17 07:00:00,6.4309998,80.28547
2023-01-17 08:00:00,5.231,75.11702
2023-01-17 09:00:00,4.6809998,72.61996
2023-01-17 10:00:00,4.9309998,68.0752
2023-01-17 11:00:00,5.1809998,63.335484
2023-01-17 12:00:00,6.081,60.16446
2023-01-17 13:00:00,6.081,60.827938
2023-01-17 14:00:00,5.831,64.65438
2023-01-17 15:00:00,5.9309998,57.747494
2023-01-17 16:00:00,4.6809998,66.791214
2023-01-17 17:00:00,3.4810002,72.6566
2023-01-17 18:00:00,2.881,72.01106
2023-01-17 19:00:00,1.9810001,70.25486
2023-01-17 20:00:00,1.231,71.155624
2023-01-17 21:00:00,1.031,69.27699
2023-01-17 22:00:00,0.63100004,69.97701
2023-01-17 23:00:00,0.48099998,71.27191
