date,temperature_2m,relative_humidity_2m
2023-01-02 00:00:00,7.481,76.30787
2023-01-02 01:00:00,6.481,86.13907
2023-01-02 02:00:00,7.0309997,83.822365
2023-01-02 03:00:00,6.1809998,90.43069
2023-01-02 04:00:00,6.381,90.13076
2023-01-02 05:00:00,6.331,93.96764
2023-01-02 06:00:00,6.2809997,95.27778
2023-01-02 07:00:00,5.731,96.92781
2023-01-02 08:00:00,5.5309997,96.92294
2023-01-02 09:00:00,7.231,90.82069
2023-01-02 10:00:00,8.331,79.16371
2023-01-02 11:00:00,9.081,76.57142
2023-01-02 12:00:00,8.331,85.14504
2023-01-02 13:00:00,8.481,83.414795
2023-01-02 14:00:00,9.031,78.71965
2023-01-02 15:00:00,8.981,75.49627
2023-01-02 16:00:00,8.6310005,77.30208
2023-01-02 17:00:00,7.231,85.61831
2023-01-02 18:00:00,6.831,80.06
2023-01-02 19:00:00,6.131,80.52712
2023-01-02 20:00:00,6.131,80.81241
2023-01-02 21:00:00,5.5309997,83.05246
2023-01-02 22:00:00,5.2809997,83.02123
2023-01-02 23:00:00,5.0309997,82.98991
