date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
2022-08-21 00:00:00,22.980999,29.287245,4.131,20.352879,0.0,0.0,0.0,0.0,0.0,1017.6,907.03784,0.0,0.0,0.0,0.0,0.08306223,1.9854205,8.435069,13.979871,320.1945,348.11136,20.519999,23.831,26.630999,24.681,20.281,0.087,0.141,0.167,0.196
2022-08-21 01:00:00,21.630999,32.92631,4.631,19.257793,0.0,0.0,0.0,0.0,0.0,1017.3,906.2978,0.0,0.0,0.0,0.0,0.06497508,1.7349514,7.386582,8.891343,313.0251,328.24057,18.0,23.130999,26.480999,24.681,20.281,0.087,0.141,0.167,0.196
2022-08-21 02:00:00,21.081,34.293465,4.731,18.06069,0.0,0.0,0.0,0.0,0.0,1017.0,905.8371,1.0,0.0,0.0,1.0,0.10241432,1.6433396,11.966954,15.580141,316.2188,310.31403,21.599998,22.581,26.331,24.681,20.281,0.087,0.141,0.167,0.196
2022-08-21 03:00:00,21.581,32.003597,4.1809998,17.892437,0.0,0.0,0.0,0.0,0.0,1017.4,906.3695,0.0,0.0,0.0,0.0,0.13879238,1.7534766,15.778516,27.908709,325.2221,329.79684,30.239998,22.230999,26.130999,24.681,20.281,0.087,0.141,0.167,0.196
2022-08-21 04:00:00,21.130999,34.547844,4.881,17.303944,0.0,0.0,0.0,0.0,1.0,1017.4,906.21106,20.0,0.0,0.0,20.0,0.14468443,1.6419961,17.713316,30.652895,322.43134,326.49655,34.2,21.980999,25.980999,24.681,20.281,0.087,0.141,0.167,0.196
2022-08-21 05:00:00,21.031,35.99072,5.381,17.183815,0.0,0.0,0.0,0.0,1.0,1017.4,906.17596,33.0,0.0,0.0,33.0,0.14634682,1.5959609,18.581022,32.52177,324.46225,333.71866,35.64,21.730999,25.781,24.681,20.281,0.087,0.141,0.167,0.196
2022-08-21 06:00:00,20.931,37.879345,6.0309997,17.343536,0.0,0.0,0.0,0.0,0.0,1017.6,906.31866,0.0,0.0,0.0,0.0,0.15750268,1.5393655,17.782686,29.46947,328.24057,334.68716,35.64,21.581,25.630999,24.681,20.281,0.087,0.141,0.167,0.196
2022-08-21 07:00:00,23.031,35.09154,6.7809997,20.163746,0.0,0.0,0.0,0.0,3.0,1017.4,906.877,89.0,0.0,0.0,89.0,0.17012557,1.8278179,14.021525,21.09305,330.8026,332.56036,33.12,22.130999,25.480999,24.681,20.281,0.087,0.141,0.167,0.196
2022-08-21 08:00:00,26.281,29.800138,7.231,25.069036,0.0,0.0,0.0,0.0,1.0,1017.6,908.1758,26.0,0.0,0.0,26.0,0.19929403,2.3998215,3.396233,6.989936,327.99466,325.4914,24.84,23.880999,25.380999,24.681,20.281,0.087,0.141,0.167,0.196
2022-08-21 09:00:00,28.181,24.044117,5.731,26.322449,0.0,0.0,0.0,0.0,0.0,1017.3,908.55255,0.0,0.0,0.0,0.0,0.3659541,2.902113,5.4477882,6.489992,187.59456,199.44012,16.919998,26.531,25.380999,24.681,20.281,0.087,0.141,0.167,0.196
2022-08-21 10:00:00,29.730999,20.433157,4.6809998,28.397797,0.0,0.0,0.0,0.0,0.0,1017.1,908.89417,0.0,0.0,0.0,0.0,0.4958978,3.3249586,5.315336,6.1305785,208.30066,220.23628,19.08,29.380999,25.480999,24.681,20.281,0.087,0.141,0.167,0.196
