fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2023-03-01,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"7,8","0,0","4,2",Varias,"11,3",14:27,40,49,Varias,27,11:20
2023-03-02,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"10,4","0,0","6,8",Varias,"14,1",14:54,44,56,02:50,30,16:20
2023-03-03,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"10,6","0,0","6,7",06:34,"14,4",13:48,49,71,23:59,39,09:30
2023-03-04,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"10,8","0,0","7,0",06:49,"14,6",14:27,55,77,23:59,39,11:00
2023-03-05,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"10,7","0,0","6,0",06:45,"15,4",13:15,62,78,03:30,41,10:10
2023-03-06,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"11,8","0,0","8,8",02:40,"14,9",14:08,67,81,23:40,56,06:10
2023-03-07,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,4","0,0","7,8",06:10,"20,9",15:12,71,85,07:20,42,Varias
2023-03-08,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"17,2","0,0","11,8",02:57,"22,7",12:27,52,78,02:10,37,Varias
2023-03-09,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"18,6","1,4","14,2",06:31,"23,1",14:35,66,83,09:30,41,14:40
2023-03-10,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"19,0","0,0","13,4",05:59,"24,7",14:48,47,69,19:50,26,Varias
2023-03-11,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"21,6","0,0","16,4",23:56,"26,9",15:56,46,64,20:00,31,15:50
2023-03-12,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"16,4","0,0","14,2",23:42,"18,6",12:13,73,84,23:50,60,00:00
2023-03-13,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"16,9","0,0","13,7",Varias,"20,1",23:19,73,88,02:50,25,23:30
