fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2024-03-01,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,8","0,0","10,1",Varias,"19,6",15:15,38,78,00:20,23,Varias
2024-03-02,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,0","2,6","11,3",04:53,"16,8",10:08,59,73,23:20,43,15:00
2024-03-03,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"11,0","7,4","6,3",08:06,"15,6",14:42,55,84,08:00,29,23:59
2024-03-04,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"12,4","0,0","8,4",06:21,"16,4",12:09,45,70,Varias,21,12:00
2024-03-05,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,4","0,0","10,3",05:38,"18,6",16:17,60,75,23:30,26,Varias
2024-03-06,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,4","0,0","10,4",05:49,"16,5",13:57,66,79,22:40,47,16:30
2024-03-07,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,0","2,8","9,7",05:35,"16,3",13:50,75,83,05:00,64,15:30
2024-03-08,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,4","4,2","12,5",22:06,"16,4",13:16,67,91,05:00,44,16:50
2024-03-09,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"12,2","18,6","10,5",23:38,"13,9",09:46,85,91,08:50,63,03:50
2024-03-10,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"12,4","0,2","8,2",05:01,"16,5",14:10,61,87,00:00,44,14:20
2024-03-11,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"15,1","0,0","10,1",05:07,"20,1",15:00,57,74,Varias,36,15:20
2024-03-12,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,1","0,0","9,7",06:16,"16,5",14:21,62,72,22:50,54,04:30
2024-03-13,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,8","0,0","9,9",05:23,"17,7",11:05,65,77,05:20,49,10:20
2024-03-14,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,6","0,0","10,0",06:29,"17,1",14:29,73,84,23:30,59,11:50
2024-03-15,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"15,3","0,0","13,2",05:30,"17,4",13:56,79,84,Varias,68,14:20
2024-03-16,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"15,8","0,0","12,6",05:50,"19,0",15:20,75,87,Varias,61,15:40
2024-03-17,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"15,9","0,0","13,6",Varias,"18,2",10:44,79,88,Varias,71,10:40
2024-03-18,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"15,6","0,0","11,9",06:05,"19,3",15:40,72,93,Varias,55,Varias
2024-03-19,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"16,8","0,0","13,9",04:11,"19,6",13:38,71,81,06:10,56,13:40
2024-03-20,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"16,1","0,0","13,8",06:17,"18,4",13:17,78,86,Varias,71,05:20
2024-03-21,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"15,8","0,0","13,8",06:53,"17,9",12:57,76,85,Varias,69,12:30
2024-03-22,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"19,0","0,0","14,2",Varias,"23,8",12:18,64,83,Varias,46,12:30
2024-03-23,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"17,4","0,0","14,4",23:50,"20,4",13:31,68,81,23:40,58,13:40
2024-03-24,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,9","0,0","13,9",21:52,"15,9",13:58,74,83,00:40,66,15:30
2024-03-25,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,4","21,0","12,2",23:25,"14,6",09:58,76,90,Varias,64,14:00
2024-03-26,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,9","1,0","10,5",23:53,"17,3",13:21,75,94,Varias,46,15:00
2024-03-27,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,0","0,0","9,3",04:32,"16,6",15:15,58,80,21:50,38,11:30
2024-03-28,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"18,2","0,0","15,4",23:49,"21,1",12:13,55,82,Varias,40,11:30
2024-03-29,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"17,4","0,0","15,0",06:12,"19,7",14:24,77,86,06:20,61,15:00
2024-03-30,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"15,0","2,4","12,8",06:08,"17,2",10:26,65,83,22:40,44,10:30
2024-03-31,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,0","22,6","11,1",23:44,"17,0",11:18,76,91,Varias,51,11:10
2024-04-01,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,8","0,0","9,6",02:50,"20,1",14:41,52,81,02:10,32,14:10
2024-04-02,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,6","0,0","11,7",02:39,"17,5",14:02,55,60,01:30,43,08:30
2024-04-03,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"16,7","0,0","12,4",05:33,"21,0",09:47,58,85,22:40,39,09:20
2024-04-04,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"16,6","0,0","12,8",05:27,"20,3",10:38,76,87,21:50,50,09:00
2024-04-05,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"17,7","0,0","14,7",05:50,"20,7",13:51,63,86,00:00,47,13:30
2024-04-06,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"16,4","0,0","14,0",05:13,"18,7",11:58,80,89,08:40,62,00:00
2024-04-07,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"17,3","0,0","15,4",02:53,"19,2",12:28,76,89,22:40,70,12:30
2024-04-08,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"17,2","0,0","14,7",04:21,"19,8",22:55,80,91,Varias,43,23:20
2024-04-09,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"16,0","0,2","12,7",23:53,"19,3",00:01,58,75,Varias,43,00:10
2024-04-10,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,4","0,0","10,9",04:54,"17,9",10:11,52,77,00:50,39,09:20
2024-04-11,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"15,6","0,0","11,9",04:01,"19,4",12:57,60,76,00:40,46,15:40
2024-04-12,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"18,4","0,0","13,8",04:09,"23,0",14:18,58,83,05:50,37,13:20
2024-04-13,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"19,6","0,0","14,7",04:35,"24,6",09:55,52,68,06:00,36,10:00
2024-04-14,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"22,0","0,0","16,2",03:36,"27,8",15:13,39,72,04:50,20,15:00
2024-04-15,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"19,2","0,0","15,7",Varias,"22,6",12:36,62,85,Varias,36,10:40
2024-04-16,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"17,4","0,4","14,9",06:07,"19,8",09:48,60,85,Varias,46,09:20
2024-04-17,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"15,6","0,0","13,2",06:14,"18,0",10:58,64,80,23:10,49,Varias
2024-04-18,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,8","0,0","12,6",Varias,"17,1",11:21,62,85,03:20,56,08:00
2024-04-19,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"15,2","0,0","11,8",04:10,"18,6",13:56,53,72,02:10,35,08:30
2024-04-20,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"15,8","0,0","12,6",05:26,"18,9",13:33,65,80,23:30,52,07:40
2024-04-21,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,9","5,0","12,6",05:04,"17,2",13:12,59,79,00:50,52,Varias
2024-04-22,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"12,6","17,8","9,4",18:01,"15,9",13:05,74,86,06:40,56,13:10
2024-04-23,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"11,8","0,0","8,5",03:22,"15,2",13:52,59,85,05:00,41,14:40
2024-04-24,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,3","0,0","9,2",Varias,"17,4",14:07,47,69,23:50,33,08:40
2024-04-25,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,6","0,6","13,0",05:14,"16,3",14:52,68,81,23:40,60,11:30
2024-04-26,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"15,6","0,0","12,1",05:06,"19,0",15:13,69,84,Varias,52,11:50
2024-04-27,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"17,6","2,0","15,8",04:08,"19,4",10:22,83,90,23:30,73,14:10
2024-04-28,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"16,0","12,2","14,2",23:44,"17,7",13:06,82,91,02:10,71,13:10
2024-04-29,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,2","40,6","13,5",04:24,"14,9",21:55,90,93,15:30,84,Varias
2024-04-30,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"15,8","0,0","14,3",04:02,"17,2",13:56,83,89,04:30,81,12:40
2024-05-01,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"17,9","0,0","13,6",05:12,"22,2",14:31,55,87,04:50,32,19:20
2024-05-02,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"16,8","0,0","10,9",05:21,"22,7",15:16,49,65,17:10,13,15:20
2024-05-03,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"16,3","0,0","11,2",05:16,"21,4",15:25,45,69,05:20,20,15:40
2024-05-04,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"18,0","0,0","13,5",04:33,"22,6",14:35,49,71,09:30,26,17:40
2024-05-05,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"17,6","0,0","15,3",04:46,"19,8",15:30,80,87,21:40,43,00:00
2024-05-06,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"18,2","0,0","16,2",03:38,"20,3",07:39,72,87,02:40,61,07:20
2024-05-07,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"17,8","0,0","15,3",20:38,"20,2",13:56,60,81,Varias,48,08:40
2024-05-08,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"18,2","0,0","13,8",05:19,"22,5",Varias,45,77,00:00,32,14:10
2024-05-09,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"19,5","0,0","16,2",05:31,"22,8",14:36,44,60,Varias,37,08:00
