fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2023-09-01,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"25,3","0,0","21,7",Varias,"28,9",12:28,71,83,05:10,51,12:10
2023-09-02,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"25,0","0,0","23,7",05:24,"26,3",08:26,71,78,Varias,65,13:00
2023-09-03,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"25,8","0,0","23,0",05:20,"28,7",13:16,57,71,00:30,40,21:50
2023-09-04,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"27,4","0,0","24,9",23:51,"29,8",10:38,53,76,23:30,27,06:20
2023-09-05,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"25,9","0,0","23,4",05:29,"28,4",11:25,69,84,19:00,50,04:50
2023-09-06,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"25,2","0,0","22,7",05:34,"27,7",09:58,64,76,Varias,50,08:40
2023-09-07,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"24,4","0,0","21,1",Varias,"27,6",14:36,64,75,01:40,58,17:00
2023-09-08,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"24,1","0,0","20,5",05:23,"27,7",12:37,64,76,23:10,51,12:20
2023-09-09,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"23,9","0,0","20,4",05:24,"27,4",13:54,69,82,05:00,61,13:10
2023-09-10,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"24,6","0,2","21,4",05:37,"27,9",13:06,69,81,05:20,63,13:10
2023-09-11,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"25,0","0,0","22,1",Varias,"27,9",12:24,76,85,Varias,66,15:50
2023-09-12,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"25,0","0,0","22,0",05:13,"28,0",13:43,76,84,05:20,68,08:40
2023-09-13,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"25,0","0,0","22,0",05:23,"28,0",10:47,68,81,06:30,54,10:00
2023-09-14,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"25,1","0,0","22,2",05:22,"28,0",13:07,66,74,22:30,55,10:40
2023-09-15,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"23,0","30,2","20,1",15:00,"25,8",11:06,80,92,16:00,62,07:50
