date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
2025-01-19 00:00:00,5.79,71.275894,0.99,2.4904556,0.0,0.0,0.0,,3.0,1022.2,1016.7092,100.0,0.0,100.0,1.0,0.013543437,0.26536548,9.139322,10.383987,302.12497,303.6901,19.44,6.94,9.04,11.04,15.690001,0.129,0.227,0.251,0.177
2025-01-19 01:00:00,7.24,66.15257,1.34,4.228753,0.0,0.0,0.0,,3.0,1021.6,1016.14087,100.0,0.0,100.0,96.0,0.014853001,0.3454907,7.562142,13.729647,308.23386,325.68484,20.880001,8.29,9.240001,11.04,15.690001,0.124,0.216,0.243,0.177
2025-01-19 02:00:00,7.0899997,66.119385,1.19,4.094408,0.0,0.0,0.0,,3.0,1021.4,1015.9387,100.0,0.0,100.0,100.0,0.013864829,0.34229815,7.282774,12.081473,309.98682,326.54666,18.72,7.99,9.240001,11.04,15.690001,0.124,0.216,0.243,0.177
2025-01-19 03:00:00,6.79,66.05289,0.89,3.7076468,0.0,0.0,0.0,,3.0,1021.2,1015.73413,100.0,0.0,100.0,100.0,0.014553523,0.33598906,7.538541,11.7,303.31064,323.13,18.0,7.74,9.190001,11.04,15.690001,0.124,0.216,0.243,0.177
2025-01-19 04:00:00,6.64,66.7368,0.89,3.570239,0.0,0.0,0.0,,3.0,1020.9,1015.43286,100.0,0.0,100.0,100.0,0.013580473,0.32584643,7.4520864,10.472535,307.14676,331.23245,17.64,7.49,9.190001,11.04,15.690001,0.124,0.216,0.243,0.177
2025-01-19 05:00:00,6.74,66.51895,0.94000006,3.6254997,0.0,0.0,0.0,,3.0,1021.1,1015.63367,100.0,0.0,100.0,99.0,0.01497876,0.33024096,7.8149853,10.636766,308.45374,336.0375,17.64,7.3399997,9.14,11.04,15.690001,0.124,0.216,0.243,0.177
2025-01-19 06:00:00,6.54,65.997345,0.64,3.2348266,0.0,0.0,0.0,,3.0,1021.2,1015.7293,100.0,0.0,100.0,100.0,0.018275728,0.33080786,8.78872,13.130133,304.9921,326.74564,19.8,7.19,9.09,11.04,15.690001,0.124,0.216,0.243,0.177
2025-01-19 07:00:00,6.49,65.03987,0.39000002,3.2166085,0.0,0.0,0.0,,3.0,1021.4,1015.92725,100.0,0.0,100.0,100.0,0.017648354,0.33895433,8.297589,13.833091,310.60123,327.75757,19.44,7.04,9.04,11.04,15.690001,0.124,0.216,0.243,0.177
2025-01-19 08:00:00,6.64,65.073906,0.54,3.411995,0.0,0.0,0.0,,3.0,1021.6,1016.129,100.0,0.0,100.0,100.0,0.03797551,0.34213513,8.149847,13.766176,313.2101,332.76492,18.72,6.94,8.990001,11.04,15.690001,0.124,0.216,0.243,0.177
2025-01-19 09:00:00,7.54,64.57878,1.29,4.310707,0.0,0.0,0.0,,3.0,1021.6,1016.14655,100.0,0.0,33.0,100.0,0.056169,0.36903858,9.0,13.443481,306.86996,333.7781,18.72,7.19,8.940001,11.04,15.690001,0.123,0.216,0.243,0.177
