date,temperature_2m,relative_humidity_2m
2024-09-10 00:00:00,17.230999,43.743706
2024-09-10 01:00:00,17.281,43.453796
2024-09-10 02:00:00,16.380999,46.006615
2024-09-10 03:00:00,15.6310005,48.262783
2024-09-10 04:00:00,15.531,48.23499
2024-09-10 05:00:00,15.031,49.634632
2024-09-10 06:00:00,14.3810005,51.759125
2024-09-10 07:00:00,15.731,48.628277
2024-09-10 08:00:00,19.681,35.352802
2024-09-10 09:00:00,21.531,31.432919
2024-09-10 10:00:00,23.130999,30.584854
2024-09-10 11:00:00,24.681,28.35309
2024-09-10 12:00:00,26.031,25.535803
2024-09-10 13:00:00,26.880999,23.453144
2024-09-10 14:00:00,27.531,21.951216
2024-09-10 15:00:00,27.781,20.88452
2024-09-10 16:00:00,27.531,20.383738
2024-09-10 17:00:00,26.380999,23.98552
2024-09-10 18:00:00,24.281,30.908993
2024-09-10 19:00:00,22.880999,34.33276
2024-09-10 20:00:00,21.531,37.920746
2024-09-10 21:00:00,20.081,41.602413
2024-09-10 22:00:00,18.581,45.829773
2024-09-10 23:00:00,17.730999,48.176357
