date,temperature_2m,relative_humidity_2m
2020-11-22 00:00:00,5.7809997,60.97684
2020-11-22 01:00:00,4.381,68.20638
2020-11-22 02:00:00,4.381,68.95792
2020-11-22 03:00:00,4.631,69.26202
2020-11-22 04:00:00,4.631,70.790054
2020-11-22 05:00:00,4.4309998,71.526146
2020-11-22 06:00:00,4.131,71.989784
2020-11-22 07:00:00,3.2810001,75.046585
2020-11-22 08:00:00,5.0309997,74.0087
2020-11-22 09:00:00,7.4309998,62.72285
2020-11-22 10:00:00,9.181001,61.5818
2020-11-22 11:00:00,10.731,61.30101
2020-11-22 12:00:00,11.931001,54.27117
2020-11-22 13:00:00,12.581,55.214317
2020-11-22 14:00:00,12.781,56.04697
2020-11-22 15:00:00,12.531,58.18116
2020-11-22 16:00:00,11.231,69.38249
2020-11-22 17:00:00,9.8810005,73.071075
2020-11-22 18:00:00,7.1809998,82.966034
2020-11-22 19:00:00,6.9309998,77.028885
2020-11-22 20:00:00,6.6809998,72.73539
2020-11-22 21:00:00,6.331,70.87204
2020-11-22 22:00:00,6.4309998,67.17353
2020-11-22 23:00:00,6.2809997,66.41789
